ID;TableID;ExplicitName;InferredName;ExplicitDataType;InferredDataType;DataCategory;Description;IsHidden;State;IsUnique;IsKey;IsNullable;Alignment;TableDetailPosition;IsDefaultLabel;IsDefaultImage;SummarizeBy;ColumnStorageID;Type;SourceColumn;ColumnOriginID;Expression;FormatString;IsAvailableInMDX;SortByColumnID;AttributeHierarchyID;ModifiedTime;StructureModifiedTime;RefreshedTime;SystemFlags;KeepUniqueRows;DisplayOrdinal;ErrorMessage;SourceProviderType;DisplayFolder;EncodingHint;RelatedColumnDetailsID;AlternateOfID;LineageTag;SourceLineageTag
11;10;"RowNumber-2662979B-1795-4F74-8F37-6A1BA8059B61";"";6;19;"";"";True;1;True;True;False;1;-1;False;False;1;596;3;"";;"";"";True;;12;2025-09-26 08:28:53,430;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"";""
59;10;"CustomerID";"";6;19;"";"";False;1;False;False;True;1;-1;False;False;2;648;1;"CustomerID";;"";"0";True;;445;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"ec329a16-8890-48d2-a75a-c86c73055c57";""
60;10;"Country";"";2;19;"";"";False;1;False;False;True;1;-1;False;False;2;652;1;"Country";;"";"";True;;446;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"9e0bb5bf-9976-43d7-a2ba-41ab84066618";""
61;10;"FirstPurchase";"";9;19;"";"";False;1;False;False;True;1;-1;False;False;2;656;1;"FirstPurchase";;"";"General Date";True;;447;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"7ee43c1d-20f8-49f8-870c-cf608189eff9";""
62;10;"LastPurchase";"";9;19;"";"";False;1;False;False;True;1;-1;False;False;2;660;1;"LastPurchase";;"";"General Date";True;;448;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"1d09f8d0-1845-448d-bf31-62ccf43155e5";""
63;10;"TotalTransactions";"";6;19;"";"";False;1;False;False;True;1;-1;False;False;3;664;1;"TotalTransactions";;"";"0";True;;449;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"3107fcee-6911-4c23-b2c9-965929023675";""
64;10;"TotalSpent";"";8;19;"";"";False;1;False;False;True;1;-1;False;False;3;668;1;"TotalSpent";;"";"""£""#,0.00;-""£""#,0.00;""£""#,0.00";True;;450;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"935c17bf-8e4c-45c2-b32b-c16a2da122e3";""
65;10;"CustomerKey";"";6;19;"";"";True;1;False;False;True;1;-1;False;False;2;672;1;"CustomerKey";;"";"0";True;;451;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"9d3eb8ee-3fca-4481-815b-28913457eb7f";""
66;10;"CustomerType";"";2;19;"";"";False;1;False;False;True;1;-1;False;False;2;676;1;"CustomerType";;"";"";True;;452;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"2f2ca987-78b8-43ae-89f6-20265f8d6106";""
67;10;"IsUK";"";6;19;"";"";False;1;False;False;True;1;-1;False;False;2;680;1;"IsUK";;"";"0";True;;453;2025-09-26 08:28:53,426;2025-09-26 08:28:53,426;1699-12-31 00:00:00,000;0;False;0;"";"";"";0;;;"e6e9413a-2301-43a4-8a43-284f7fbd3e25";""
