ID;ModelID;Name;IsActive;Type;CrossFilteringBehavior;JoinOnDateBehavior;RelyOnReferentialIntegrity;FromTableID;FromColumnID;FromCardinality;ToTableID;ToColumnID;ToCardinality;State;RelationshipStorageID;RelationshipStorage2ID;ModifiedTime;RefreshedTime;SecurityFilteringBehavior
49;1;"46785a2d-c2fd-4c6b-921e-d57aea286c9b";True;1;1;2;False;10;61;2;16;75;1;1;992;;2025-10-07 11:58:30,530;2025-10-07 11:58:30,530;1
50;1;"dd18602a-3974-4d88-9647-827721ba0920";True;1;1;2;False;10;62;2;19;82;1;1;994;;2025-10-07 11:58:30,480;2025-10-07 11:58:30,480;1
51;1;"691d2fdd-2dd5-4ec9-b5d4-20d557ccd123";True;1;1;2;False;28;114;2;31;118;1;1;996;;2025-10-07 11:58:30,470;2025-10-07 11:58:30,470;1
52;1;"ea4da1bb-f29c-483d-ba86-40d5fa9728dc";True;1;1;2;False;28;115;2;34;125;1;1;998;;2025-10-07 11:58:30,493;2025-10-07 11:58:30,493;1
53;1;"AutoDetected_67ef6368-7867-4a27-a6e6-7a18a0d2ab02";True;1;1;1;False;37;133;2;10;65;1;1;1000;;2025-10-07 11:58:30,483;2025-10-07 11:58:30,483;1
54;1;"AutoDetected_9820751f-8672-42dc-820c-0906853b0f31";True;1;1;1;False;37;135;2;22;89;1;1;1002;;2025-10-07 11:58:30,460;2025-10-07 11:58:30,460;1
55;1;"AutoDetected_5e153c48-8f14-4bbd-b584-667689eda521";True;1;1;1;False;37;136;2;25;104;1;1;1004;;2025-10-07 11:58:30,483;2025-10-07 11:58:30,483;1
56;1;"AutoDetected_8717e10e-b236-4076-9da8-77e8caeed81b";True;1;1;1;False;37;134;2;28;116;1;1;1006;;2025-10-07 11:58:30,463;2025-10-07 11:58:30,463;1
4316;1;"970583e1-cc91-4070-8d8e-f16f52120f40";True;1;1;2;False;4307;4322;2;4310;4323;1;1;4577;;2025-10-07 11:58:30,546;2025-10-07 11:58:30,546;1
5440;1;"44952cdc-87a7-402b-911e-e3f8f9ef4025";True;1;1;2;False;4307;4338;2;5437;5441;1;1;5514;;2025-10-07 11:58:30,573;2025-10-07 11:58:30,573;1
8896;1;"529873e4-74ca-67bb-9eca-4cbb9e89f8d1";True;1;1;1;False;4307;4319;2;28;110;1;1;8897;;2025-10-07 11:58:30,476;2025-10-07 11:58:30,476;1
